"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.100516917E0,-5.335068266E-1,-4.247958317E0,-7.733968302E0,8.839912053E0
2.110519917E0,1.021324241E0,-2.698654915E0,-7.951737909E0,8.459076624E0
2.120522917E0,2.635463178E0,-5.960581470E-1,-7.397623594E0,7.875645136E0
2.130525917E0,3.356660804E0,1.404338647E0,-6.441916661E0,7.398488295E0
2.140528917E0,3.949140455E0,2.826497853E0,-5.185478656E0,7.104504862E0
2.150531917E0,4.405661232E0,3.162772395E0,-3.518564358E0,6.464771864E0
2.160534917E0,4.651624943E0,3.015913142E0,-2.048036399E0,5.909974601E0
2.170537917E0,4.629575093E0,2.564287069E0,-1.053706267E0,5.396186673E0
2.180540917E0,4.698760518E0,2.274020174E0,-5.593335396E-1,5.249987825E0
2.190543917E0,3.497147761E0,1.639262230E0,1.064438832E-1,3.863748623E0
2.200546917E0,1.112358811E0,8.972423780E-1,6.827080357E-1,1.583816994E0
2.210549917E0,-7.370538121E-1,6.816099286E-1,9.629592347E-1,1.391089826E0
2.220552917E0,-1.728395139E0,1.288072026E0,1.034640251E0,2.391016468E0
2.230556917E0,-2.202482122E0,2.420692901E0,8.187446773E-1,3.373577399E0
2.240559917E0,-2.320659174E0,3.280887321E0,1.076296985E-1,4.020107556E0
2.250562917E0,-2.046362049E0,3.744381487E0,-4.373109929E-1,4.289432510E0
2.260565917E0,-1.616462913E0,3.796890653E0,-7.691147534E-1,4.197721821E0
2.270568917E0,-1.213927578E0,3.305007670E0,-9.653062340E-1,3.650823467E0
2.280571917E0,-3.773864976E-1,2.574192252E0,-1.105056004E0,2.826665012E0
2.290574917E0,7.760690662E-1,1.505403092E0,-1.672200766E0,2.380079214E0
2.300577917E0,1.220999931E0,-5.633207560E-3,-2.218516649E0,2.532328708E0
2.310580917E0,4.156895243E-2,-1.573869894E0,-1.478628691E0,2.159892874E0
2.320583917E0,-1.757076755E0,-2.473028989E0,3.197842240E-2,3.033844710E0
